track_id,cls,t,x,y,z,w,l,h,vx,vy,theta,conf
100,0,13.300,-97.8795,205.6458,1.3366,1.7400,4.0300,1.4100,0.8512,-1.5692,-1.18365,0.90
100,0,13.400,-97.7942,205.4886,1.3360,1.7400,4.0300,1.4100,0.8511,-1.5695,-1.18365,0.90
100,0,13.500,-97.7089,205.3313,1.3355,1.7400,4.0300,1.4100,0.8494,-1.5699,-1.18365,0.90
100,0,13.600,-97.6240,205.1740,1.3350,1.7400,4.0300,1.4100,0.8475,-1.5751,-1.18365,0.90
100,0,13.700,-97.5396,205.0167,1.3345,1.7400,4.0300,1.4100,0.8404,-1.5751,-1.18365,0.90
100,0,13.800,-97.4561,204.8594,1.3340,1.7400,4.0300,1.4100,0.8304,-1.5696,-1.18365,0.90
100,0,13.900,-97.3732,204.7021,1.3335,1.7400,4.0300,1.4100,0.8291,-1.5735,-1.18365,0.90
100,0,14.000,-97.2905,204.5451,1.3330,1.7400,4.0300,1.4100,0.8312,-1.5778,-1.18365,0.90
101,0,3.700,-65.6757,120.1639,2.8778,1.9227,4.4369,1.5793,3.2417,-1.5929,0.01395,0.90
101,0,3.800,-65.3509,120.0043,2.9002,1.9227,4.4369,1.5793,3.2549,-1.6014,-0.01838,0.90
101,0,3.900,-65.0257,119.8440,2.9226,1.9227,4.4369,1.5793,3.2600,-1.6129,-0.05074,0.90
101,0,4.000,-64.6998,119.6821,2.9450,1.9227,4.4369,1.5793,3.2552,-1.6290,-0.08309,0.90
101,0,4.100,-64.3733,119.5176,2.9675,1.9227,4.4369,1.5793,3.2724,-1.6662,-0.11549,0.90
101,0,4.200,-64.0462,119.3493,2.9900,1.9227,4.4369,1.5793,3.2766,-1.7090,-0.14794,0.90
101,0,4.300,-63.7189,119.1762,3.0126,1.9227,4.4369,1.5793,3.2646,-1.7580,-0.18036,0.90
101,0,4.400,-63.3920,118.9970,3.0351,1.9227,4.4369,1.5793,3.2676,-1.8313,-0.21278,0.90
101,0,4.500,-63.0663,118.8105,3.0576,1.9227,4.4369,1.5793,3.2535,-1.9116,-0.24519,0.90
101,0,4.600,-62.7422,118.6152,3.0799,1.9227,4.4369,1.5793,3.2232,-1.9979,-0.27759,0.90
101,0,4.700,-62.4203,118.4101,3.1020,1.9227,4.4369,1.5793,3.1992,-2.1026,-0.30997,0.90
101,0,4.800,-62.1011,118.1939,3.1239,1.9227,4.4369,1.5793,3.1818,-2.2256,-0.34236,0.90
101,0,4.900,-61.7848,117.9656,3.1456,1.9227,4.4369,1.5793,3.1504,-2.3511,-0.37474,0.90
101,0,5.000,-61.4718,117.7243,3.1672,1.9227,4.4369,1.5793,3.1060,-2.4764,-0.42523,0.90
101,0,5.100,-61.1624,117.4693,3.1885,1.9227,4.4369,1.5793,3.0799,-2.6243,-0.47571,0.90
101,0,5.200,-60.8567,117.2002,3.2096,1.9227,4.4369,1.5793,3.0423,-2.7682,-0.52617,0.90
101,0,5.300,-60.5548,116.9164,3.2306,1.9227,4.4369,1.5793,2.9951,-2.9057,-0.57662,0.90
101,0,5.400,-60.2565,116.6179,3.2515,1.9227,4.4369,1.5793,2.9191,-3.0122,-0.62704,0.90
101,0,5.503,-59.9614,116.3041,3.2724,1.9227,4.4369,1.5793,2.9412,-3.2183,-0.67749,0.90
101,0,5.600,-59.6691,115.9751,3.2932,1.9227,4.4369,1.5793,2.9580,-3.4221,-0.72791,0.90
101,0,5.700,-59.3791,115.6305,3.3141,1.9227,4.4369,1.5793,2.8821,-3.5181,-0.77836,0.90
101,0,5.800,-59.0915,115.2701,3.3350,1.9227,4.4369,1.5793,2.8697,-3.6889,-0.82885,0.90
101,0,5.900,-58.8060,114.8937,3.3562,1.9227,4.4369,1.5793,2.8495,-3.8485,-0.87932,0.90
101,0,6.000,-58.5224,114.5014,3.3775,1.9227,4.4369,1.5793,2.8219,-3.9935,-0.92980,0.90
101,0,6.100,-58.2405,114.0934,3.3991,1.9227,4.4369,1.5793,2.8051,-4.1481,-0.98034,0.90
101,0,6.200,-57.9603,113.6702,3.4208,1.9227,4.4369,1.5793,2.7989,-4.3127,-1.03084,0.90
101,0,6.300,-57.6815,113.2321,3.4428,1.9227,4.4369,1.5793,2.7846,-4.4579,-1.08137,0.90
101,0,6.400,-57.4041,112.7798,3.4649,1.9227,4.4369,1.5793,2.7614,-4.5807,-1.08330,0.90
101,0,6.500,-57.1281,112.3141,3.4871,1.9227,4.4369,1.5793,2.7078,-4.6427,-1.08523,0.90
101,0,6.603,-56.8537,111.8361,3.5093,1.9227,4.4369,1.5793,2.7401,-4.8443,-1.08714,0.90
101,0,6.700,-56.5808,111.3466,3.5314,1.9227,4.4369,1.5793,2.7633,-5.0257,-1.08906,0.90
101,0,6.800,-56.3097,110.8467,3.5533,1.9227,4.4369,1.5793,2.7063,-5.0518,-1.09095,0.90
101,0,6.900,-56.0403,110.3376,3.5750,1.9227,4.4369,1.5793,2.6888,-5.1399,-1.09282,0.90
101,0,7.000,-55.7727,109.8201,3.5963,1.9227,4.4369,1.5793,2.6614,-5.2000,-1.09474,0.90
101,0,7.100,-55.5070,109.2955,3.6171,1.9227,4.4369,1.5793,2.6421,-5.2655,-1.09663,0.90
101,0,7.200,-55.2432,108.7650,3.6373,1.9227,4.4369,1.5793,2.6314,-5.3386,-1.09862,0.90
101,0,7.300,-54.9814,108.2293,3.6569,1.9227,4.4369,1.5793,2.6125,-5.3859,-1.10048,0.90
101,0,7.400,-54.7214,107.6892,3.6758,1.9227,4.4369,1.5793,2.5856,-5.4073,-1.10237,0.90
101,0,7.500,-54.4633,107.1457,3.6939,1.9227,4.4369,1.5793,2.5680,-5.4399,-1.10426,0.90
101,0,7.600,-54.2068,106.5991,3.7112,1.9227,4.4369,1.5793,2.5598,-5.4854,-1.10608,0.90
101,0,7.700,-53.9520,106.0501,3.7276,1.9227,4.4369,1.5793,2.5437,-5.5083,-1.10802,0.90
101,0,7.800,-53.6988,105.4989,3.7431,1.9227,4.4369,1.5793,2.5201,-5.5103,-1.10991,0.90
101,0,7.900,-53.4470,104.9458,3.7577,1.9227,4.4369,1.5793,2.5145,-5.5488,-1.11172,0.90
101,0,8.000,-53.1965,104.3907,3.7714,1.9227,4.4369,1.5793,2.5014,-5.5697,-1.11365,0.90
101,0,8.100,-52.9474,103.8334,3.7842,1.9227,4.4369,1.5793,2.4811,-5.5727,-1.11540,0.90
101,0,8.200,-52.6993,103.2740,3.7962,1.9227,4.4369,1.5793,2.4703,-5.5952,-1.11701,0.90
101,0,8.300,-52.4523,102.7122,3.8074,1.9227,4.4369,1.5793,2.4691,-5.6379,-1.11523,0.90
101,0,8.400,-52.2062,102.1479,3.8177,1.9227,4.4369,1.5793,2.4613,-5.6628,-1.11349,0.90
101,0,8.500,-51.9607,101.5812,3.8272,1.9227,4.4369,1.5793,2.4467,-5.6680,-1.11187,0.90
101,0,8.600,-51.7159,101.0121,3.8359,1.9227,4.4369,1.5793,2.4499,-5.7096,-1.11013,0.90
101,0,8.700,-51.4714,100.4407,3.8439,1.9227,4.4369,1.5793,2.4468,-5.7318,-1.10830,0.90
101,0,8.800,-51.2272,99.8672,3.8510,1.9227,4.4369,1.5793,2.4380,-5.7343,-1.10658,0.90
101,0,8.900,-50.9829,99.2916,3.8573,1.9227,4.4369,1.5793,2.4480,-5.7733,-1.10497,0.90
101,0,9.000,-50.7382,98.7141,3.8628,1.9227,4.4369,1.5793,2.4532,-5.7931,-1.10336,0.90
101,0,9.100,-50.4929,98.1346,3.8676,1.9227,4.4369,1.5793,2.4535,-5.7957,-1.10175,0.90
101,0,9.200,-50.2466,97.5527,3.8715,1.9227,4.4369,1.5793,2.4735,-5.8380,-1.10013,0.90
101,0,9.300,-49.9988,96.9686,3.8745,1.9227,4.4369,1.5793,2.4896,-5.8626,-1.09852,0.90
101,0,9.400,-49.7493,96.3818,3.8768,1.9227,4.4369,1.5793,2.5027,-5.8728,-1.09690,0.90
101,0,9.500,-49.4973,95.7917,3.8781,1.9227,4.4369,1.5793,2.5305,-5.9103,-1.09530,0.90
101,0,9.600,-49.2422,95.1974,3.8786,1.9227,4.4369,1.5793,2.5745,-5.9783,-1.09367,0.90
101,0,9.700,-48.9831,94.5976,3.8782,1.9227,4.4369,1.5793,2.6187,-6.0400,-1.09202,0.90
101,0,9.800,-48.7192,93.9910,3.8770,1.9227,4.4369,1.5793,2.6638,-6.0969,-1.09035,0.90
101,0,9.900,-48.4493,93.3759,3.8748,1.9227,4.4369,1.5793,2.7354,-6.2081,-1.08867,0.90
101,0,10.000,-48.1728,92.7511,3.8716,1.9227,4.4369,1.5793,2.8060,-6.3109,-1.08704,0.90
101,0,10.100,-47.8889,92.1154,3.8675,1.9227,4.4369,1.5793,2.8744,-6.4041,-1.08540,0.90
101,0,10.200,-47.5968,91.4677,3.8624,1.9227,4.4369,1.5793,2.9689,-6.5507,-1.08628,0.90
101,0,10.300,-47.2959,90.8070,3.8563,1.9227,4.4369,1.5793,3.0592,-6.6848,-1.08626,0.90
101,0,10.400,-46.9858,90.1326,3.8490,1.9227,4.4369,1.5793,3.1423,-6.8016,-1.08625,0.90
101,0,10.500,-46.6662,89.4440,3.8406,1.9227,4.4369,1.5793,3.2360,-6.9423,-1.08624,0.90
101,0,10.600,-46.3373,88.7414,3.8309,1.9227,4.4369,1.5793,3.3388,-7.1054,-1.08624,0.90
101,0,10.700,-45.9994,88.0248,3.8199,1.9227,4.4369,1.5793,3.4272,-7.2435,-1.08624,0.90
101,0,10.800,-45.6528,87.2946,3.8075,1.9227,4.4369,1.5793,3.4993,-7.3557,-1.08626,0.90
101,0,10.900,-45.2981,86.5508,3.7937,1.9227,4.4369,1.5793,3.5880,-7.5151,-1.08625,0.90
101,0,11.000,-44.9361,85.7936,3.7783,1.9227,4.4369,1.5793,3.6573,-7.6492,-1.08621,0.90
101,0,11.100,-44.5677,85.0230,3.7613,1.9227,4.4369,1.5793,3.7066,-7.7568,-1.08617,0.90
